fullCity,meanNDVI,ls_Mortality_Rate,ls_Stroke_Rate,ls_Dementia_Rate,popOver20_2023,popOver35_2023,popOver55_2023,geoid,city,state,countyGEOID,standardDevNDVI
"Sacramento city, California",0.5737242583448902,235.92050011176758,41.04055586219187,166.01433251501226,371144,251304,94279,NA,Sacramento city,California,06067,0.24942194776231463
"San Bernardino city, California",0.47778264605092624,168.83001023932695,32.32557802868844,130.1978318347894,186130,134539,47437,NA,San Bernardino city,California,06071,0.2563896437094761
"San Diego city, California",0.6168167217393691,217.12432135327012,45.024518693089576,182.48580792966834,1002114,653652,241055,NA,San Diego city,California,06073,0.28943718780975186
"San Francisco city, California",0.432799944184995,135.49035766663707,28.31202500380547,113.8033921054081,609856,401001,148450,NA,San Francisco city,California,06075,0.2854925927395845
"San Jose city, California",0.48358705463199714,125.25355630463349,32.84681882020928,132.33164547750786,732858,525836,197856,NA,San Jose city,California,06085,0.21694065782795155
"Santa Rosa city, California",0.5906123330715443,253.27375504556744,42.59669325468847,172.4408000358338,129947,91578,37605,NA,Santa Rosa city,California,06097,0.22278453520432853
"Stockton city, California",0.5834958774773241,235.9374222609477,41.940140153971186,169.72825313691226,221410,149753,55792,NA,Stockton city,California,06077,0.26973955396994453
"Aurora city, Colorado",0.6308387280732425,225.39520291513094,41.77979429322311,139.91599621913625,290422,223481,77191,NA,Aurora city,Colorado,08005,0.18298022067902883
"Colorado Springs city, Colorado",0.5484902393468082,214.09360954301226,34.923987947926186,116.52145259325698,346686,225410,89049,NA,Colorado Springs city,Colorado,08041,0.2057651653774641
"Denver city, Colorado",0.543981732938223,185.0941444045636,34.55276026630731,115.25944675745377,510378,358134,117494,NA,Denver city,Colorado,08005,0.2484894425317943
"Fort Collins city, Colorado",0.667057329901359,238.4335974557473,44.840794554655844,150.41474892420766,133929,74583,28826,NA,Fort Collins city,Colorado,08069,0.2297245777092011
"Lakewood city, Colorado",0.6078324744128226,245.61053432876258,39.84999414613066,133.31399867305717,129255,98774,40607,NA,Lakewood city,Colorado,08059,0.20958952020087213
"Thornton city, Colorado",0.6231048762823296,202.3470069423162,41.129809030536975,137.6908810885391,119276,91680,31166,NA,Thornton city,Colorado,08001,0.2209225043874106
"Jacksonville city, Florida",0.6753050454571592,324.414732483954,54.03751087326025,178.1521632146102,631434,449341,184795,NA,Jacksonville city,Florida,12031,0.24844634020823267
"Orlando city, Florida",0.6690838329242716,218.04909431405898,53.40995403505393,176.0332493489124,306206,227251,79180,NA,Orlando city,Florida,12095,0.2290578410871983
"Port St. Lucie city, Florida",0.706926717142696,390.94170999230823,57.24267142909018,188.9919452981193,148105,115833,52646,NA,Port St. Lucie city,Florida,12111,0.19646484382548848
"St. Petersburg city, Florida",0.6054503051607291,356.30539572796675,47.0475907015401,154.61556549287906,192216,146457,70052,NA,St. Petersburg city,Florida,12103,0.23732116233255696
"Tallahassee city, Florida",0.7320880956332972,293.9078957789176,59.81146214255241,197.7008581525071,161091,87924,35869,NA,Tallahassee city,Florida,12073,0.18893120994980123
"Tampa city, Florida",0.6241161961320559,245.48495701574922,48.90325050372176,160.85012428653846,300804,211837,78219,NA,Tampa city,Florida,12057,0.2544654748184383
"Atlanta city, Georgia",0.7118800986256277,256.59068814956584,60.88744801111953,162.46585022667597,383651,243848,85392,NA,Atlanta city,Georgia,13121,0.22907086843038865
"Augusta-Richmond County consolidated government, Georgia",0.7669105152044091,466.9871315029048,66.8411897144456,178.80335563646787,132612,94944,41128,NA,Augusta-Richmond County consolidated government,Georgia,13245,0.18320588573909377
"Macon-Bibb County, Georgia",0.7882809278155112,523.8310830184889,69.1757663874771,185.23073871146872,96956,77375,33825,NA,Macon-Bibb County,Georgia,13021,0.17840480268025938
"Savannah city, Georgia",0.6271443422421653,294.4088150018118,51.88096696333818,137.89988454894447,122932,91559,36977,NA,Savannah city,Georgia,13051,0.23393851000159271
"Boise  city, Idaho",0.5721904649202654,202.0443810611115,43.773023673354274,131.20606822858798,179816,127052,50482,NA,Boise City city,Idaho,16001,0.26450035014843415
"Aurora city, Illinois",0.6716169042231505,254.6702622706719,53.99925714521622,164.77601442215607,134970,97617,32202,NA,Aurora city,Illinois,17089,0.20808456528085068
"Chicago city, Illinois",0.4957269661441104,184.86136060639078,36.541417463527665,110.62046310499636,1869722,1216295,456404,NA,Chicago city,Illinois,17031,0.25331415896162396
"Joliet city, Illinois",0.6061684624995082,223.0066645183203,47.411993722369346,144.24531331851594,120159,93414,32271,NA,Joliet city,Illinois,17197,0.22814768502349464
"Naperville city, Illinois",0.718728845426967,275.0123517987085,58.809183103030655,179.84021073729835,114934,95857,37053,NA,Naperville city,Illinois,17043,0.20142861605444304
"Rockford city, Illinois",0.7171330886594653,421.3854921646805,58.64532034787285,179.32600218680003,110111,80852,36703,NA,Rockford city,Illinois,17201,0.2010920513165149
"Fort Wayne city, Indiana",0.6954050547591315,338.80777649764246,58.85387255996124,208.2861594384636,185270,128137,52452,NA,Fort Wayne city,Indiana,18003,0.22493385130237212
"Indianapolis city, Indiana",0.6887387949682794,322.6955491304021,58.144488285393706,205.7129321189076,581770,423547,168444,NA,Indianapolis city,Indiana,18097,0.23437782510864055
"Des Moines city, Iowa",0.6494753305219877,276.3992189700509,48.77579577966427,169.336056623148,153853,105120,42040,NA,Des Moines city,Iowa,19153,0.2333998692172728
"Overland Park city, Kansas",0.7658194755549873,314.01210462107815,66.84916320313835,196.233054642864,135451,118785,48359,NA,Overland Park city,Kansas,20091,0.18475880163157996
"Wichita city, Kansas",0.6085943413200108,301.6738842896465,50.029932025155105,145.8097565435323,267946,179847,75876,NA,Wichita city,Kansas,20173,0.2102565248918178
